date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_sum,away_sum,year,home_win,home_draw,home_lose
2021.3.24,Belgium,Wales,Europe,Europe,1,18,1780,1562,3,1,FIFA World Cup qualification,Leuven,Belgium,FALSE,No,Win,90,74,80,87,82,74,77,72,339,297,2021,TRUE,FALSE,FALSE
2021.3.24,Estonia,Czech Republic,Europe,Europe,108,42,1180,1456,2,6,FIFA World Cup qualification,Lublin,Poland,TRUE,No,Lose,,82,,,,78.5,75.3,77.2,,313,2021,FALSE,FALSE,TRUE
2021.3.24,Turkey,Netherlands,Europe,Europe,32,14,1487,1609,4,2,FIFA World Cup qualification,Istanbul,Turkey,FALSE,No,Win,77,79,77.5,77,77,82,83,83,308.5,327,2021,TRUE,FALSE,FALSE
2021.3.24,Gibraltar,Norway,Europe,Europe,195,44,888,1450,0,3,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE,No,Lose,,77,,,,75.2,79.3,79,,310.5,2021,FALSE,FALSE,TRUE
2021.3.24,Latvia,Montenegro,Europe,Europe,136,63,1082,1370,1,2,FIFA World Cup qualification,Riga,Latvia,FALSE,No,Lose,70,65,,,,73.2,72.7,72,70,282.9,2021,FALSE,FALSE,TRUE
2021.3.24,Malta,Russia,Europe,Europe,176,39,951,1461,1,3,FIFA World Cup qualification,Ta' Qali,Malta,FALSE,No,Lose,,80,,,,77.5,77.7,78.2,,313.4,2021,FALSE,FALSE,TRUE
2021.3.24,Slovenia,Croatia,Europe,Europe,62,11,1379,1617,1,0,FIFA World Cup qualification,Ljubljana,Slovenia,FALSE,No,Win,91,80,72,78.3,76.5,78,82,86,317.8,326,2021,TRUE,FALSE,FALSE
2021.3.24,Cyprus,Slovakia,Europe,Europe,100,34,1224,1478,0,0,FIFA World Cup qualification,Nicosia,Cyprus,FALSE,No,Draw,,83,,,60,77.8,67.7,77.8,60,306.3,2021,FALSE,TRUE,FALSE
2021.3.24,Chad,Namibia,Africa,Africa,178,121,947,1143,0,3,African Cup of Nations qualification,N'Djamena,Chad,FALSE,No,Lose,,,,,,,,,,,2021,FALSE,FALSE,TRUE
2021.3.24,Guinea,Mali,Africa,Africa,72,54,1334,1412,1,0,African Cup of Nations qualification,Clermont-Ferrand,France,TRUE,No,Win,66,74,70,71.7,76.5,76.2,73.7,75.2,284.2,299.1,2021,TRUE,FALSE,FALSE
2021.3.24,South Sudan,Malawi,Africa,Africa,163,123,998,1140,0,1,African Cup of Nations qualification,Omdurman,Sudan,TRUE,No,Lose,,,,,,,,,,,2021,FALSE,FALSE,TRUE
2021.3.24,Uganda,Burkina Faso,Africa,Africa,83,58,1301,1391,0,0,African Cup of Nations qualification,Kampala,Uganda,FALSE,No,Draw,,75,62.5,,63.5,70.8,70.7,67.2,126,283.7,2021,FALSE,TRUE,FALSE
2021.3.24,São Tomé and Príncipe,Sudan,Africa,Africa,187,127,914,1124,0,2,African Cup of Nations qualification,São Tomé,São Tomé and Príncipe,FALSE,No,Lose,,,,,,,,,,,2021,FALSE,FALSE,TRUE
2021.3.24,Rwanda,Mozambique,Africa,Africa,133,106,1103,1185,1,0,African Cup of Nations qualification,Kigali,Rwanda,FALSE,No,Win,,,,,,73.2,,,,73.2,2021,TRUE,FALSE,FALSE
2021.3.24,Ethiopia,Madagascar,Africa,Africa,146,94,1066,1257,4,0,African Cup of Nations qualification,Bahir Dar,Ethiopia,FALSE,No,Win,,,,,,71.2,,,,71.2,2021,TRUE,FALSE,FALSE
2021.3.25,Bahrain,Syria,Asia,Asia,97,76,1238,1313,3,1,Friendly,Isa Town,Bahrain,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
